stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
278,278,Boulder @ Lamb (N),,36.130638,-115.084147,,,,,,0
281,281,Boulder @ Magic (S),,36.003959,-114.942389,,,,,,0
282,282,Boulder @ Magic (N),,36.005415,-114.94331,,,,,,0
283,283,Boulder @ Major (N),,36.03082,-114.971862,,,,,,0
286,286,Boulder @ Merlayne (N),,36.064031,-115.009186,,,,,,0
287,287,Boulder @ Missouri (N),,36.097349,-115.046616,,,,,,0
292,292,Boulder @ Nellis (S),,36.112263,-115.064129,,,,,,0
293,293,Boulder @ Nellis (N),,36.112271,-115.063453,,,,,,0
295,295,Boulder @ Warm Springs (N),,36.051838,-114.995476,,,,,,0
296,296,Boulder @ Warm Springs (S),,36.051466,-114.995796,,,,,,0
297,297,Boulder @ Palo Verde (N),,36.025463,-114.965796,,,,,,0
298,298,Boulder @ Roberts (N),,36.002858,-114.940399,,,,,,0
299,299,Boulder @ Roberts (S),,36.002089,-114.94025,,,,,,0
300,300,Boulder @ Rolly (N),,36.057526,-115.001875,,,,,,0
301,301,Boulder @ Rolly (S),,36.056645,-115.00158,,,,,,0
303,303,Boulder @ Russell (S),,36.08393,-115.032256,,,,,,0
307,307,Boulder @ Snap (S),,36.055052,-114.999785,,,,,,0
308,308,Boulder @ Harmon (N),,36.107064,-115.057589,,,,,,0
314,314,Boulder @ Tropicana (N),,36.101344,-115.051156,,,,,,0
318,318,Boulder @ Water (N),,36.046184,-114.989121,,,,,,0
319,319,Boulder @ Water (S),,36.044809,-114.988274,,,,,,0
332,332,Bruce @ Gragson (S),,36.182897,-115.125227,,,,,,0
335,335,Bruce @ Searles (S),,36.18453,-115.12522,,,,,,0
337,337,Bruce @ Todd (N),,36.18287,-115.124977,,,,,,0
338,338,Bruce @ Washington (S),,36.180768,-115.12524,,,,,,0
339,339,Buchanan @ Nevada (S),,35.97356,-114.845788,,,,,,0
340,340,Buchanan @ Pinata (S),,35.9702,-114.845398,,,,,,0
342,342,Buffalo @ Carmen (S),,36.185429,-115.260158,,,,,,0
348,348,Burkholder @ Cabrillo (E),,36.037425,-114.96559,,,,,,0
370,370,Carey @ Bruce (E),,36.202995,-115.124541,,,,,,0
371,371,Carey @ Bruce (W),,36.203209,-115.125761,,,,,,0
372,372,Carey @ Civic Center (E),,36.203004,-115.119523,,,,,,0
373,373,Carey @ Civic Center (W),,36.203219,-115.121828,,,,,,0
375,375,Carey @ Clayton (W),,36.203056,-115.170393,,,,,,0
376,376,Carey @ Commerce (E),,36.202959,-115.14179,,,,,,0
377,377,Carey @ Commerce (W),,36.203198,-115.14356,,,,,,0
381,381,Carey @ Donna (E),,36.202984,-115.128934,,,,,,0
382,382,Carey @ Donna (W),,36.203203,-115.130404,,,,,,0
384,384,Carey @ Englestad (W),,36.203197,-115.147563,,,,,,0
397,397,Carey @ Losee (W),,36.203238,-115.139359,,,,,,0
398,398,Carey @ Losee (E),,36.202985,-115.138842,,,,,,0
399,399,Carey @ Martin L King (E),,36.202919,-115.160057,,,,,,0
400,400,Carey @ Martin L King (W),,36.203117,-115.161702,,,,,,0
402,402,Carey @ North (W),,36.203198,-115.15706,,,,,,0
403,403,Carey @ North (E),,36.202962,-115.156762,,,,,,0
408,408,Carey @ Revere (W),,36.203258,-115.153388,,,,,,0
411,411,Carey @ Sierra Sunrise (E),,36.202429,-115.01926,,,,,,0
418,418,Carey @ West (W),,36.203085,-115.165842,,,,,,0
440,440,Center @ Dogwood (S),,36.046223,-114.967325,,,,,,0
441,441,Center @ Ivy (S),,36.042767,-114.967334,,,,,,0
442,442,Center @ Maple (S),,36.039908,-114.96739,,,,,,0
443,443,Warm Springs @ Center (W),,36.050308,-114.966306,,,,,,0
445,445,Charleston @ 10th (E),,36.158745,-115.140084,,,,,,0
446,446,Charleston @ Gass (W),,36.158938,-115.141786,,,,,,0
447,447,Charleston @ 15th (E),,36.158771,-115.132255,,,,,,0
448,448,Charleston @ 15th (W),,36.158995,-115.133356,,,,,,0
449,449,Charleston @ 17th (E),,36.158761,-115.12928,,,,,,0
450,450,Charleston @ 17th (W),,36.158981,-115.129482,,,,,,0
451,451,Charleston @ 28th (E),,36.158699,-115.110957,,,,,,0
452,452,Charleston @ 28th (W),,36.158946,-115.112364,,,,,,0
453,453,Charleston @ Antelope (E),,36.158978,-115.249912,,,,,,0
455,455,Charleston @ Arden (E),,36.158867,-115.073841,,,,,,0
456,456,Charleston @ Arville (W),,36.159159,-115.200271,,,,,,0
457,457,Charleston @ Betty (W),,36.159296,-115.058354,,,,,,0
458,458,Charleston @ Broadalbin (E),,36.158815,-115.082766,,,,,,0
459,459,Charleston @ Bruce (E),,36.158752,-115.124453,,,,,,0
460,460,Charleston @ Bruce (W),,36.158978,-115.125824,,,,,,0
461,461,Charleston @ Brush (W),,36.159224,-115.210909,,,,,,0
462,462,Charleston @ Brush (E),,36.158962,-115.209626,,,,,,0
463,463,Charleston @ Buffalo (E),,36.158991,-115.261609,,,,,,0
464,464,Charleston @ Cahlan (E),,36.158821,-115.178365,,,,,,0
465,465,Charleston @ Campbell (E),,36.158846,-115.182829,,,,,,0
466,466,Charleston @ Campbell (W),,36.159067,-115.18398,,,,,,0
467,467,Charleston @ Cashman (E),,36.158864,-115.185964,,,,,,0
468,468,Charleston @ Cashman (W),,36.159086,-115.187451,,,,,,0
470,470,Charleston @ Christy (W),,36.159459,-115.054281,,,,,,0
472,472,Charleston @ Crestwood (E),,36.158743,-115.120525,,,,,,0
473,473,Charleston @ Decatur (E),,36.158943,-115.20473,,,,,,0
474,474,Charleston @ Decatur (W),,36.159218,-115.206551,,,,,,0
